baseClassifier	datasetName	attributeName	dsMatrixCorrelSD	dsEigenvaluePropIntercept	dsEigenvalueCumulativeIntercept	dsChiSquaredMax	attChiSquaredNormalized	attClassifierLogisticNormalized	attCorrelationNormalized	attReliefFNormalized	attSymmetricalUncertNormalized	dsLOGnInstances	dsLnNumClasses	wrapperRelevance
simpleLogisticRegression	iris	petallength	0.6666452590100257	0.49346285714285704	0.7191814285714286	268.4190476190476	1.0	0.988835725677831	1.0	0.9547872340425532	0.9253731343283582	2.1760912590556813	1.0986122886681098	no
simpleLogisticRegression	iris	petalwidth	0.6666452590100257	0.49346285714285704	0.7191814285714286	268.4190476190476	0.994370741266453	1.0	0.9626016260162601	1.0	1.0	2.1760912590556813	1.0986122886681098	yes
simpleLogisticRegression	iris	sepallength	0.6666452590100257	0.49346285714285704	0.7191814285714286	268.4190476190476	0.47095399356975476	0.657097288676236	0.7772357723577236	0.37234042553191493	0.4695752009184845	2.1760912590556813	1.0986122886681098	no
simpleLogisticRegression	iris	sepalwidth	0.6666452590100257	0.49346285714285704	0.7191814285714286	268.4190476190476	0.2631706399323446	0.3572567783094099	0.6455284552845529	0.324468085106383	0.2755453501722158	2.1760912590556813	1.0986122886681098	no
simpleLogisticRegression	labor_part1	wage-increase-second-year	0.4064961976822892	0.21649636363636357	0.3989403030303031	15.06428571428571	1.0	1.0	0.878688524590164	0.9565295652956529	1.0	1.7558748556724915	0.6931471805599453	yes
simpleLogisticRegression	labor_part1	statutory-holidays	0.4064961976822892	0.21649636363636357	0.3989403030303031	15.06428571428571	0.862476185418506	1.0	0.6950819672131148	0.6289262892628926	0.8590668590668591	1.7558748556724915	0.6931471805599453	no
simpleLogisticRegression	labor_part1	longterm-disability-assistance	0.4064961976822892	0.21649636363636357	0.3989403030303031	15.06428571428571	0.46018733031073467	1.0	0.9016393442622952	1.0	0.45743145743145747	1.7558748556724915	0.6931471805599453	yes
simpleLogisticRegression	labor_part1	shift-differential	0.4064961976822892	0.21649636363636357	0.3989403030303031	15.06428571428571	0.37499253201277194	0.6309794988610479	0.4	0.30888308883088833	0.3597883597883598	1.7558748556724915	0.6931471805599453	no
simpleLogisticRegression	labor_part1	pension	0.4064961976822892	0.21649636363636357	0.3989403030303031	15.06428571428571	0.2876204005496439	0.9430523917995444	1.0	0.8604986049860499	0.2202982202982203	1.7558748556724915	0.6931471805599453	no
simpleLogisticRegression	labor_part1	cost-of-living-adjustment	0.4064961976822892	0.21649636363636357	0.3989403030303031	15.06428571428571	0.24540801763108808	0.7744874715261959	0.17540983606557378	0.3236432364323643	0.20105820105820105	1.7558748556724915	0.6931471805599453	no
simpleLogisticRegression	labor_part1	bereavement-assistance	0.4064961976822892	0.21649636363636357	0.3989403030303031	15.06428571428571	0.18407758740864164	0.5831435079726651	0.5262295081967213	0.07371073710737107	0.22799422799422797	1.7558748556724915	0.6931471805599453	no
simpleLogisticRegression	labor_part1	duration	0.4064961976822892	0.21649636363636357	0.3989403030303031	15.06428571428571	0.0	0.6150341685649203	0.27868852459016397	-0.18162181621816217	0.0	1.7558748556724915	0.6931471805599453	yes
simpleLogisticRegression	labor_part2	wage-increase-first-year	0.3523942964863058	0.18966666666666662	0.28495515151515155	22.943282794990115	1.0	1.0	1.0	1.0	1.0	1.7558748556724915	0.6931471805599453	yes
