@relation sonar_all_data_part2
@attribute s12 real
@attribute s47 real
@attribute s52 real
@attribute s17 real
@attribute s57 real
@attribute s22 real
@attribute s7 real
@attribute s27 real
@attribute s32 real
@attribute s37 real
@attribute s42 real
@attribute s2 real
@attribute class{M,R}
@data
0.1582,0.1051,0.0027,0.31,0.018,0.5071,0.1539,0.7104,0.2604,0.6692,0.2834,0.0371,"R"
0.6552,0.053,0.0084,1.0,0.014,0.4052,0.2156,0.3271,0.2947,0.3835,0.0583,0.0523,"R"
0.706,0.1348,0.0232,0.6759,0.0316,0.6737,0.2431,0.507,0.5045,0.6116,0.2587,0.0582,"R"
0.1992,0.2655,0.0121,0.0693,0.005,0.369,0.1098,0.5256,0.734,0.5408,0.5006,0.0171,"R"
0.3952,0.0357,0.0031,0.7306,0.0072,0.4292,0.1209,0.6995,0.5459,0.4604,0.2444,0.0666,"R"
0.425,0.0623,0.0045,0.9508,0.0057,0.3985,0.1201,0.5389,0.4778,0.3807,0.265,0.0453,"R"
0.0658,0.1124,0.0201,0.515,0.0092,0.9735,0.0731,0.5713,0.6323,0.6153,0.2377,0.0956,"R"
0.3086,0.1125,0.0081,0.2617,0.0085,0.5352,0.1027,0.8872,0.0624,0.1915,0.2196,0.0548,"R"
0.1654,0.1459,0.0145,0.0349,0.0065,0.889,0.0753,0.9611,0.4096,0.2463,0.174,0.0375,"R"
0.1056,0.0867,0.009,0.2826,0.0032,0.7652,0.1056,0.8289,0.4935,0.1594,0.1421,0.0173,"R"
0.0996,0.0402,0.0062,0.1177,0.0042,0.3715,0.0396,0.7654,0.7209,0.3947,0.0511,0.0063,"R"
0.0847,0.0872,0.0133,0.1463,0.0026,0.8515,0.0182,1.0,0.2576,0.3994,0.1354,0.0309,"R"
0.1215,0.1202,0.0176,0.3943,0.0059,0.9847,0.0528,0.309,0.1235,0.3382,0.0839,0.0086,"R"
0.2547,0.0479,0.0059,0.4022,0.0158,0.4438,0.1392,0.8345,0.5375,0.3858,0.2312,0.0062,"R"
0.1901,0.0621,0.0083,0.3657,0.0114,0.4574,0.0531,0.8978,0.3666,0.5501,0.2802,0.0433,"R"
0.3645,0.1252,0.0031,0.5638,0.0152,0.1989,0.2176,0.2771,0.6962,0.7615,0.2898,0.0615,"R"
0.2237,0.2303,0.0346,0.2299,0.0095,0.6191,0.1683,0.8145,0.3664,0.5789,0.5977,0.0116,"R"
0.1601,0.079,0.0331,0.6426,0.0045,0.6362,0.0568,0.4181,0.4493,0.8852,0.6378,0.0607,"R"
0.137,0.0749,0.0084,0.683,0.012,0.5573,0.1026,0.9823,0.7352,0.5715,0.2031,0.0092,"R"
0.5419,0.0073,0.0092,0.8292,0.0181,0.9224,0.2947,0.5448,0.0587,0.1212,0.0836,0.0149,"R"
0.2909,0.0604,0.0193,0.4474,0.0049,0.7813,0.3008,0.3392,0.7328,0.6385,0.1791,0.0509,"R"
0.4129,0.1306,0.0141,0.5837,0.0024,0.2013,0.0771,0.2984,0.7981,0.8912,0.5898,0.0575,"R"
0.1892,0.4331,0.0173,0.2589,0.0029,0.1179,0.2363,0.1036,0.6015,0.8712,0.7911,0.0484,"R"
0.0622,0.1015,0.0091,0.3232,0.0029,0.4075,0.1023,0.7552,0.7571,0.5324,0.1891,0.015,"R"
0.0472,0.1634,0.0035,0.1179,0.0105,0.2302,0.0993,0.0874,0.725,0.5516,0.3821,0.0644,"R"
0.0942,0.1043,0.0108,0.0624,0.0007,0.4764,0.0541,0.7901,0.8903,0.2718,0.4105,0.0026,"R"
0.1518,0.0493,0.0061,0.695,0.0011,0.7146,0.1679,0.504,0.0404,0.0476,0.2379,0.032,"R"
0.3476,0.1467,0.0102,0.5153,0.0099,0.6628,0.0688,0.5593,0.4983,0.0794,0.0983,0.03,"R"
0.3282,0.1211,0.0088,0.6795,0.0117,0.8193,0.0314,0.4081,0.2042,0.5534,0.1986,0.0275,"R"
0.371,0.0183,0.0038,0.6988,0.0099,0.7263,0.144,0.4967,0.1745,0.1605,0.1583,0.0308,"R"
0.2434,0.0738,0.0162,0.3015,0.0054,0.4441,0.0897,0.8929,0.2446,0.4681,0.3745,0.0218,"R"
0.1167,0.0426,0.0236,0.7231,0.0058,0.2622,0.0414,0.7772,0.3865,0.1388,0.0933,0.0153,"R"
0.0639,0.0562,0.0157,0.3175,0.0095,0.5212,0.1004,0.4375,0.159,0.4041,0.2028,0.0213,"R"
0.2375,0.1344,0.0204,0.2468,0.008,0.8982,0.1664,0.2054,0.76,0.1336,0.1466,0.0477,"R"
0.2555,0.0761,0.0087,0.5395,0.0229,0.2957,0.0981,0.6158,0.666,0.5382,0.2328,0.0491,"R"
0.1785,0.05,0.0386,0.236,0.0077,0.4876,0.1344,0.6197,0.1921,0.2607,0.0334,0.0132,"R"
0.0273,0.0465,0.0141,0.1224,0.0217,0.8793,0.102,0.5674,0.6316,0.4027,0.22,0.0166,"R"
0.0522,0.0598,0.0022,0.1642,0.0143,0.6146,0.0843,0.8553,0.5499,0.275,0.1883,0.0221,"R"
0.052,0.0319,0.0125,0.1956,0.0113,0.3157,0.0033,0.8594,0.5181,0.1279,0.1757,0.0022,"R"
0.0898,0.0797,0.0112,0.1264,0.0098,0.446,0.097,0.7049,0.3328,0.3446,0.3594,0.0213,"R"
0.0922,0.0354,0.0173,0.0666,0.0041,0.3903,0.0422,0.6997,0.7575,0.2959,0.1754,0.0232,"R"
0.1599,0.0365,0.0069,0.3491,0.0089,0.4684,0.047,0.6632,0.6354,0.4889,0.1449,0.0185,"R"
0.1935,0.1096,0.009,0.6861,0.0105,0.5588,0.1299,0.8745,0.7508,0.9123,0.2331,0.0319,"R"
0.3738,0.1106,0.0212,0.7312,0.007,0.4326,0.145,0.942,0.67,0.9419,0.1769,0.0269,"R"
0.0861,0.3096,0.0096,0.2009,0.0025,0.5265,0.1608,0.4006,0.4082,0.6062,0.7247,0.0447,"R"
0.3332,0.0663,0.0062,0.4203,0.0199,0.8299,0.1178,0.7652,0.7241,0.6253,0.4824,0.0653,"R"
0.294,0.1034,0.0167,0.735,0.0029,0.8707,0.092,0.6111,0.5624,0.5468,0.3178,0.0339,"R"
0.2565,0.1482,0.0008,0.2241,0.0096,0.6988,0.0841,0.5736,0.5965,0.4897,0.6633,0.0281,"R"
0.3473,0.0651,0.0093,0.2164,0.0072,0.7235,0.0901,0.6563,0.4532,0.426,0.5067,0.0038,"R"
0.372,0.0838,0.0025,0.1934,0.0076,0.7676,0.1422,0.7539,0.5141,0.5025,0.5147,0.0582,"R"
