@relation sonar_all_data_part3
@attribute s13 real
@attribute s48 real
@attribute s28 real
@attribute s8 real
@attribute s23 real
@attribute s18 real
@attribute s58 real
@attribute s53 real
@attribute s43 real
@attribute s38 real
@attribute s33 real
@attribute s3 real
@attribute class{M,R}
@data
0.2238,0.1343,0.808,0.1601,0.4328,0.2999,0.0084,0.0065,0.2825,0.6097,0.5121,0.0428,"R"
0.6919,0.0742,0.2767,0.3481,0.3957,0.8874,0.0049,0.0089,0.1401,0.1057,0.1984,0.0843,"R"
0.5544,0.0744,0.8533,0.3771,0.4293,0.7551,0.0164,0.0166,0.2129,0.6756,0.1862,0.1099,"R"
0.0184,0.1576,0.252,0.1276,0.5556,0.2281,0.0044,0.0036,0.321,0.8814,0.612,0.0623,"R"
0.4256,0.0085,1.0,0.2467,0.573,0.6193,0.0048,0.0054,0.1847,0.3217,0.2881,0.0481,"R"
0.6343,0.0494,0.375,0.1833,0.589,0.9025,0.0027,0.0014,0.0723,0.4158,0.3299,0.0277,"R"
0.0513,0.1047,0.5429,0.1401,0.939,0.4262,0.0143,0.0248,0.1957,0.4283,0.2965,0.1321,"R"
0.2657,0.0254,0.6091,0.0613,0.6809,0.1199,0.0047,0.012,0.1879,0.393,0.099,0.0842,"R"
0.3833,0.1164,0.7353,0.0098,0.6712,0.3796,0.0093,0.0128,0.2121,0.2726,0.317,0.0484,"R"
0.1266,0.0513,0.8907,0.0697,0.9203,0.3234,0.0035,0.0223,0.1597,0.1371,0.3101,0.0347,"R"
0.1424,0.0534,0.8555,0.0272,0.4382,0.1429,0.0003,0.012,0.0793,0.4281,0.7757,0.0152,"R"
0.2026,0.0445,0.8673,0.0579,0.5312,0.2849,0.0092,0.0265,0.0516,0.4576,0.2817,0.0169,"R"
0.1874,0.0692,0.0832,0.0958,0.948,0.6432,0.0058,0.0127,0.1391,0.1589,0.1717,0.0055,"R"
0.4073,0.0538,0.7669,0.0987,0.6414,0.1571,0.0053,0.0095,0.2195,0.0667,0.3844,0.0253,"R"
0.3026,0.0318,0.498,0.0343,0.4449,0.3809,0.0196,0.0057,0.2351,0.4129,0.434,0.0604,"R"
0.2777,0.0748,0.6613,0.2033,0.354,0.4555,0.0049,0.0153,0.0526,0.4401,0.5792,0.065,"R"
0.247,0.0689,0.6941,0.1541,0.5854,0.2203,0.0015,0.0158,0.3431,0.4713,0.675,0.0191,"R"
0.352,0.0829,0.2457,0.0219,0.7849,0.679,0.0037,0.0131,0.2709,0.8409,0.5976,0.0378,"R"
0.1361,0.0472,0.9166,0.1138,0.5782,0.56,0.0132,0.001,0.2207,0.5242,0.6671,0.0145,"R"
0.5472,0.0278,0.3971,0.411,0.7839,0.7839,0.0094,0.0035,0.1266,0.2446,0.2544,0.0641,"R"
0.2301,0.0209,0.3788,0.2362,0.8626,0.5964,0.0082,0.0118,0.1625,0.7279,0.7704,0.0819,"R"
0.3647,0.1198,0.4655,0.113,0.2082,0.6792,0.0162,0.019,0.4618,1.0,0.6715,0.0842,"R"
0.3176,0.2905,0.5356,0.2385,0.1668,0.2786,0.016,0.0149,0.56,0.9252,0.7208,0.0299,"R"
0.1055,0.1195,0.9503,0.044,0.3306,0.3817,0.0037,0.0016,0.2683,0.3672,0.7262,0.0136,"R"
0.0835,0.1133,0.2862,0.0315,0.3361,0.2179,0.016,0.0052,0.1575,0.3037,0.8048,0.039,"R"
0.1204,0.0453,0.8357,0.021,0.6313,0.2127,0.0024,0.007,0.3355,0.1953,0.9708,0.0138,"R"
0.2305,0.0476,0.4926,0.1119,0.8335,0.8807,0.0019,0.0015,0.1716,0.1497,0.0637,0.0599,"R"
0.4561,0.0392,0.6172,0.0633,0.7389,0.3818,0.0057,0.0122,0.1643,0.0603,0.333,0.0288,"R"
0.2432,0.0843,0.1811,0.0651,0.5789,0.7051,0.002,0.0104,0.0835,0.3352,0.2227,0.019,"R"
0.3906,0.0404,0.8616,0.1451,0.3393,0.5733,0.0092,0.0096,0.183,0.2061,0.0507,0.0197,"R"
0.2906,0.0634,0.8913,0.0713,0.6987,0.3655,0.0019,0.0146,0.2666,0.0979,0.3459,0.0324,"R"
0.1683,0.0407,0.7862,0.0259,0.3776,0.7776,0.0031,0.0114,0.0856,0.1048,0.337,0.0291,"R"
0.3002,0.0617,0.5487,0.0668,0.3156,0.416,0.0095,0.0074,0.1882,0.5031,0.3891,0.0058,"R"
0.2007,0.0416,0.5669,0.149,0.9664,0.6682,0.0105,0.0216,0.3489,0.3831,0.5185,0.0049,"R"
0.2812,0.0845,0.8049,0.1016,0.4148,0.7911,0.0182,0.0032,0.1015,0.315,0.4124,0.0692,"R"
0.1507,0.0231,0.7143,0.2041,1.0,0.1299,0.018,0.0147,0.0716,0.204,0.1386,0.0533,"R"
0.0644,0.0422,0.654,0.0893,0.9606,0.2349,0.0087,0.0191,0.2996,0.237,0.8108,0.0398,"R"
0.1119,0.0456,0.8833,0.1172,0.9146,0.1205,0.0132,0.0032,0.2746,0.1358,0.5716,0.027,"R"
0.1192,0.0301,0.9228,0.0398,0.4645,0.163,0.0058,0.0134,0.2648,0.0411,0.4629,0.0196,"R"
0.0309,0.0748,0.756,0.0872,0.6634,0.1655,0.0043,0.0112,0.4382,0.315,0.5356,0.0206,"R"
0.2398,0.042,0.8558,0.113,0.6384,0.1442,0.0052,0.0163,0.2728,0.1587,0.6902,0.0513,"R"
0.1541,0.0152,0.7321,0.0057,0.452,0.2824,0.005,0.0064,0.149,0.3683,0.6308,0.0056,"R"
0.1478,0.03,0.7887,0.139,0.6592,0.5814,0.0049,0.0042,0.2931,0.7388,0.6832,0.0415,"R"
0.3738,0.0693,0.9401,0.0638,0.5544,0.7659,0.0116,0.0091,0.1136,0.8388,0.7547,0.0217,"R"
0.1531,0.1859,0.365,0.2145,0.3647,0.2748,0.0199,0.0153,0.7733,0.704,0.3379,0.0388,"R"
0.3087,0.0418,0.5897,0.1024,0.7609,0.5364,0.0102,0.0129,0.4004,0.173,0.8032,0.0397,"R"
0.1608,0.0688,0.4195,0.1353,0.6471,0.8253,0.0122,0.0127,0.2377,0.1421,0.5555,0.0202,"R"
0.2624,0.0988,0.4402,0.1031,0.8391,0.3586,0.0054,0.0045,0.6287,0.4081,0.7272,0.0232,"R"
0.3197,0.0789,0.5087,0.1454,0.8242,0.4563,0.0022,0.0118,0.4216,0.2436,0.5385,0.0642,"R"
0.2665,0.0755,0.6008,0.1447,0.7867,0.4142,0.0073,0.0103,0.4372,0.2829,0.6084,0.0623,"R"
0.225,0.1078,0.5998,0.0687,0.143,0.0939,0.0096,0.0242,0.2948,0.7866,0.8436,0.0326,"R"
0.1226,0.0107,0.6404,0.064,0.4663,0.3657,0.0013,0.0028,0.2296,0.4902,0.3034,0.0308,"R"
0.2789,0.048,0.8564,0.0717,0.6774,0.2991,0.0064,0.0038,0.1756,0.2776,0.2025,0.0081,"R"
0.1763,0.0919,0.9134,0.1107,0.6826,0.2934,0.0055,0.0072,0.2121,0.3209,0.2797,0.0257,"R"
0.2087,0.0716,0.8965,0.0131,0.6234,0.3134,0.014,0.0028,0.2552,0.2673,0.3663,0.0188,"R"
0.2042,0.0745,0.9785,0.0836,0.6696,0.3213,0.0029,0.0045,0.2203,0.3104,0.3718,0.0123,"R"
0.2249,0.095,0.9578,0.0915,0.5854,0.3417,0.0011,0.0041,0.1808,0.3101,0.2897,0.0113,"R"
0.0997,0.0273,0.7949,0.0877,0.7022,0.2573,0.0018,0.0049,0.1323,0.5117,0.5929,0.0174,"R"
0.0618,0.0379,0.9071,0.0655,0.8773,0.2679,0.0035,0.0129,0.0758,0.3965,0.5588,0.0075,"R"
0.0628,0.0219,0.8752,0.0616,0.8225,0.295,0.0041,0.0074,0.055,0.3505,0.4776,0.0218,"R"
0.089,0.0114,0.9092,0.0941,0.9273,0.2838,0.0022,0.0041,0.0609,0.379,0.5142,0.0088,"R"
0.1197,0.029,0.905,0.0883,1.0,0.2713,0.0028,0.0084,0.107,0.3742,0.4563,0.0051,"R"
0.1042,0.0309,0.9858,0.0906,0.9237,0.2947,0.005,0.0054,0.0766,0.4899,0.6591,0.0242,"R"
0.0656,0.0561,0.8513,0.0951,0.6308,0.3811,0.0034,0.0023,0.1605,0.3466,0.5468,0.0024,"R"
0.1437,0.0863,0.4855,0.0738,0.0667,0.2047,0.0032,0.0048,0.2816,0.7073,0.6764,0.0135,"R"
0.104,0.098,0.6471,0.0535,0.1965,0.0375,0.0179,0.0175,0.3406,0.6313,0.5934,0.0501,"R"
0.1908,0.0982,0.8457,0.078,0.206,0.1105,0.0081,0.0187,0.3684,0.5733,0.6545,0.0137,"R"
0.1464,0.0752,0.7003,0.0663,0.24,0.1285,0.0067,0.016,0.3802,0.6772,0.6601,0.0317,"R"
0.1434,0.0224,0.6897,0.0973,0.4193,0.1846,0.0042,0.0067,0.26,0.1987,0.7662,0.0181,"R"
0.1192,0.0469,0.6742,0.0908,0.2605,0.1765,0.0024,0.0044,0.1587,0.0383,0.162,0.0273,"R"
0.092,0.0333,0.5816,0.0575,0.4238,0.1374,0.0036,0.0025,0.2275,0.0621,0.1863,0.0068,"R"
0.1599,0.0435,0.6624,0.1026,0.3368,0.1748,0.0049,0.0055,0.1983,0.0748,0.192,0.0092,"R"
0.1291,0.0244,0.6119,0.0506,0.429,0.1647,0.0019,0.0063,0.1902,0.1096,0.1339,0.0131,"R"
0.0493,0.0656,0.7043,0.0954,0.7483,0.1923,0.0059,0.0072,0.1513,0.2871,0.2672,0.0089,"R"
0.1546,0.0257,0.9134,0.0664,0.887,0.7827,0.0056,0.0023,0.0597,0.1601,0.1746,0.0121,"R"
0.1254,0.0425,0.7317,0.0608,0.9409,0.8057,0.0054,0.0081,0.0855,0.2255,0.4031,0.0325,"R"
0.1499,0.0469,0.7633,0.1099,0.9872,0.8131,0.0026,0.0151,0.0893,0.1888,0.3381,0.0466,"R"
0.1705,0.0677,0.5877,0.1228,0.962,0.7843,0.0015,0.0111,0.0378,0.1154,0.2849,0.0476,"R"
0.2274,0.0595,0.65,0.1351,0.8057,0.776,0.0038,0.0097,0.0762,0.1373,0.2277,0.003,"R"
0.2202,0.0387,0.4492,0.0494,0.9645,0.6279,0.0023,0.0078,0.0159,0.0461,0.3735,0.0058,"R"
0.4091,0.0631,0.8713,0.1188,0.7484,0.9185,0.0029,0.0022,0.0351,0.2056,0.1709,0.004,"R"
0.3951,0.1498,0.4808,0.2071,0.7302,0.9278,0.0019,0.0073,0.1272,0.1339,0.4106,0.0155,"R"
0.3827,0.1062,0.6084,0.107,0.6967,0.9826,0.0061,0.0036,0.1701,0.1707,0.3638,0.0573,"R"
0.3973,0.1403,0.2989,0.1009,0.6212,1.0,0.003,0.0103,0.071,0.1866,0.3746,0.0392,"R"
0.3686,0.1074,0.5002,0.0817,0.5847,1.0,0.0062,0.0044,0.1713,0.0864,0.3969,0.0423,"R"
