@relation ionosphere_part3
@attribute a06 real
@attribute a33 real
@attribute a21 real
@attribute a03 real
@attribute a27 real
@attribute a15 real
@attribute a12 real
@attribute a09 real
@attribute a24 real
@attribute a18 real
@attribute a30 real
@attribute class{b,g}
@data
0.02306,0.18641,0.56971,0.99539,0.41078,0.60536,-0.17755,1.0,-0.47357,-0.38542,-0.3409,"g"
-0.36156,-0.13738,-0.13151,1.0,-0.20468,-0.51685,-0.67743,1.0,-0.35734,-0.62237,-0.11593,"b"
0.00485,0.56045,0.70887,1.0,0.58984,0.54591,0.05346,0.88965,-0.12062,-0.13644,-0.17365,"g"
1.0,-0.32382,-0.69975,1.0,0.51613,-1.0,0.0,0.0,0.0,-0.3933,-0.20099,"b"
0.06531,-0.04608,0.05982,1.0,0.1329,0.34395,-0.20275,0.77152,-0.52879,-0.2178,-0.62197,"g"
-0.11949,-0.00039,0.01838,0.02337,-0.0324,-0.04572,-0.06302,0.14706,0.00888,-0.10196,0.00732,"b"
-0.208,-0.13832,0.36324,0.97588,0.13659,0.74628,-0.47929,0.85996,-0.79753,-0.68086,-0.82395,"g"
0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,0.0,"b"
-0.14333,0.38895,0.75346,0.96355,0.57577,0.90392,-0.43569,1.0,-0.64225,-0.35257,-0.63919,"g"
0.0,-0.08208,0.0,-0.01864,0.20645,-0.33656,-0.38172,0.1147,0.0,0.15018,0.0,"b"
-0.18388,0.22995,0.70645,1.0,0.47211,0.90711,-0.41349,1.0,-0.80544,-0.66474,-0.83675,"g"
-1.0,1.0,1.0,1.0,1.0,1.0,-0.41119,1.0,1.0,-0.29354,-1.0,"b"
-0.10169,0.64727,0.86043,1.0,0.76224,0.93719,-0.35151,1.0,-0.5122,-0.28106,-0.68794,"g"
0.2228,1.0,0.61831,1.0,1.0,1.0,0.35147,1.0,0.62349,-1.0,-0.66494,"b"
0.0342,1.0,1.0,1.0,1.0,1.0,0.19651,1.0,0.4175,0.10561,0.48641,"g"
0.26708,0.0,0.0,0.50932,0.39752,-1.0,-1.0,1.0,0.0,0.03623,0.0,"b"
-0.01236,0.70941,0.81633,0.99645,0.79476,0.94212,0.07808,0.96112,0.14442,0.1112,0.15379,"g"
-1.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,"b"
0.05031,1.0,0.53888,0.67065,0.46167,0.78637,0.12131,0.08776,0.22625,0.18151,0.25306,"g"
0.0,1.0,-1.0,1.0,1.0,0.0,-1.0,1.0,0.5625,1.0,-1.0,"b"
-0.09834,0.74354,0.91693,1.0,0.82681,1.0,-0.11073,1.0,-0.46866,-0.31884,-0.38231,"g"
0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,"b"
0.04296,0.52099,0.65961,0.96071,0.58051,0.87534,0.0258,0.90169,-0.05929,0.0028,-0.01251,"g"
0.0,0.0,1.0,-1.0,1.0,0.0,1.0,-1.0,0.0,-1.0,1.0,"b"
0.02942,0.64207,0.9491,1.0,0.72529,0.93392,-0.11726,1.0,-0.31654,-0.07379,-0.38576,"g"
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,"b"
-0.17263,-0.13341,0.90284,1.0,0.48136,0.87937,-0.41382,0.94817,-0.78547,-0.6218,-0.89674,"g"
0.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,"b"
0.17387,0.52479,1.0,1.0,0.83899,1.0,0.47904,0.98172,1.0,0.82777,1.0,"g"
1.0,1.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,"b"
-0.16256,1.0,1.0,1.0,0.9882,1.0,-0.2501,1.0,-0.59661,-0.38606,-0.7582,"g"
1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-0.79141,"b"
-0.11057,0.42189,0.70555,0.88208,0.56804,0.82116,-0.31809,0.88307,-0.50085,-0.33632,-0.59854,"g"
-0.23067,-0.23186,-0.25914,0.71253,0.93124,0.83726,-0.10951,0.99709,0.05456,-0.17863,-0.21901,"b"
0.27686,1.0,0.96354,1.0,1.0,0.76837,-0.49863,1.0,-0.91338,0.39337,-0.11129,"g"
1.0,1.0,1.0,0.66161,1.0,1.0,-1.0,0.80893,-1.0,0.70982,-0.3625,"b"
-0.01209,0.83867,0.99589,1.0,0.89067,0.97261,-0.06256,1.0,-0.13565,-0.13665,-0.18552,"g"
-1.0,0.0,-1.0,1.0,1.0,0.0,-1.0,0.0,1.0,1.0,1.0,"b"
0.0228,0.65258,0.80983,0.91241,0.7355,0.92048,0.06348,0.93582,0.14222,0.12722,0.153,"g"
0.04861,1.0,0.6585,1.0,0.48867,0.82077,0.11147,0.61745,0.16516,0.15189,0.15436,"b"
0.20746,0.0699,0.47807,1.0,0.27712,0.79555,0.39039,0.93051,0.6884,0.60756,0.70682,"g"
1.0,0.0,1.0,-1.0,1.0,0.17917,1.0,0.0,1.0,-1.0,-1.0,"b"
