@relation sonar_all_data_part1
@attribute s11 real
@attribute s51 real
@attribute s21 real
@attribute s36 real
@attribute s46 real
@attribute s6 real
@attribute s16 real
@attribute s56 real
@attribute s26 real
@attribute s31 real
@attribute s41 real
@attribute s1 real
@attribute class{M,R}
@data
0.1609,0.0232,0.5783,0.8507,0.1386,0.0986,0.2273,0.0167,0.6415,0.1307,0.051,0.02,"R"
0.4918,0.0125,0.5212,0.4182,0.0203,0.2583,0.9444,0.0191,0.32,0.3788,0.1674,0.0453,"R"
0.6333,0.0033,0.7974,0.3043,0.0176,0.228,0.6931,0.0244,0.2413,0.8512,0.4647,0.0262,"R"
0.0881,0.0241,0.2741,0.3012,0.3654,0.0368,0.2131,0.0073,0.5334,0.626,0.6121,0.01,"R"
0.4152,0.0156,0.4148,0.4181,0.0528,0.0649,0.5326,0.0015,0.2285,0.5103,0.1979,0.0762,"R"
0.2988,0.0104,0.2074,0.2856,0.1089,0.099,0.9988,0.0089,0.5782,0.558,0.2707,0.0286,"R"
0.1786,0.0195,0.7723,0.5163,0.0597,0.171,0.544,0.0138,0.6826,0.5811,0.5017,0.0317,"R"
0.2802,0.0052,0.7832,0.105,0.236,0.0922,0.4376,0.0097,0.822,0.1318,0.1151,0.0519,"R"
0.1156,0.0061,0.9802,0.2186,0.1271,0.0591,0.1136,0.0049,0.7366,0.3007,0.2558,0.0223,"R"
0.0801,0.0118,0.6068,0.1108,0.0688,0.0671,0.1133,0.0068,0.7545,0.5829,0.062,0.0164,"R"
0.0492,0.0062,0.1847,0.4499,0.069,0.0284,0.0907,0.0093,0.7476,0.7502,0.1972,0.0039,"R"
0.0548,0.0188,0.7852,0.2698,0.0861,0.0102,0.2032,0.0118,0.8275,0.394,0.1782,0.0123,"R"
0.1097,0.0174,0.9674,0.3649,0.0663,0.0546,0.2723,0.0019,0.5136,0.1905,0.1043,0.0079,"R"
0.1896,0.0187,0.3542,0.7761,0.157,0.1589,0.5326,0.0152,0.869,0.538,0.351,0.009,"R"
0.164,0.0078,0.5801,0.4109,0.0724,0.0355,0.239,0.0054,0.894,0.1553,0.3132,0.0124,"R"
0.2476,0.0154,0.3932,0.7133,0.1633,0.2294,0.4335,0.0076,0.462,0.5192,0.2809,0.0298,"R"
0.2328,0.0426,0.3158,0.7552,0.3424,0.1185,0.3308,0.0048,0.5599,0.593,0.7322,0.0352,"R"
0.1237,0.036,0.5399,0.5771,0.1288,0.0809,0.5761,0.0024,0.4862,0.1816,0.6096,0.0192,"R"
0.1675,0.0045,0.443,0.5972,0.1373,0.0757,0.5354,0.0039,0.9819,0.8473,0.2003,0.027,"R"
0.5832,0.0153,1.0,0.1547,0.0516,0.2559,0.6985,0.0006,0.5922,0.2005,0.3051,0.0126,"R"
0.3021,0.0107,0.8319,0.586,0.1643,0.307,0.243,0.0054,0.2596,0.7449,0.4069,0.0473,"R"
0.2869,0.0135,0.3246,0.8169,0.1216,0.0771,0.4039,0.0026,0.2736,0.7956,0.6803,0.0664,"R"
0.1456,0.0396,0.1441,0.7523,0.5507,0.1077,0.2458,0.0139,0.257,0.4756,0.8995,0.0099,"R"
0.074,0.0107,0.4449,0.5757,0.1668,0.1058,0.2584,0.0026,0.5218,0.8283,0.0646,0.0115,"R"
0.0414,0.017,0.2111,0.896,0.1433,0.0816,0.0809,0.0075,0.2606,0.8096,0.3318,0.0293,"R"
0.0841,0.0072,0.3825,0.5307,0.2024,0.0151,0.0162,0.0011,0.8788,0.9236,0.379,0.0201,"R"
0.0847,0.0086,0.6736,0.1866,0.0422,0.1734,0.4527,0.0054,0.6543,0.1631,0.3175,0.0151,"R"
